keyword,avg_views,avg_likes,avg_comments,trend_score,engagement_score,avg_views_norm,avg_likes_norm,avg_comments_norm,trend_score_norm,engagement_score_norm,final_score
AI,43023123.5,410455.9,4464.4,70.01886792452831,0.009644123119047832,1.0,1.0,0.7547792076100339,1.0,0.0,0.8
Electric Vehicles,12540469.42,188748.86,3952.94,55.283018867924525,0.015366394474250868,0.27732157587588396,0.4395205785480772,0.6312948163886141,0.6528888888888887,0.19608240532006554,0.4488573982712227
Green Tech,843015.36,14889.12,1383.84,41.24528301886792,0.019303278175144996,0.0,0.0,0.011023926217436407,0.32222222222222213,0.3309857640772092,0.2273082639265529
Oil Price,1724950.18,65636.66,1338.18,27.566037735849058,0.0388271155750133,0.02090878518074847,0.12829070226776879,0.0,0.0,1.0,0.20627263555422456
Renewable Energy,12133821.2,233088.1,5480.08,61.471698113207545,0.019661422075347542,0.2676808177571448,0.5516109820951092,1.0,0.7986666666666665,0.34325811417094804,0.5482892014946663
